schema_version,seed,direction,commanded_action,steps,start_gripper_position,end_gripper_position,gripper_displacement,minimum_gripper_object_distance,object_displacement
1,108,y_positive,"[0.0, 0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.008787230948381915, 0.6089871175703565, 0.19439844205766732]","[0.004203030523992525, 0.007599003944367189, -0.0007450128600369477]",0.18700313933677928,1.4844520806502007e-05
1,108,y_negative,"[0.0, -0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.009372179957175394, 0.5907155392347172, 0.19452853170840734]","[0.004787979532786004, -0.010672574391272116, -0.0006149232092969303]",0.18817126396307488,1.484452080462681e-05
1,144,x_positive,"[0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.018803042253640993, 0.5993625393551477, 0.19468102522280356]","[0.014218841829251603, -0.0020255742708416014, -0.00046242969490070673]",0.1901226936570489,1.1050590523387059e-05
1,144,x_negative,"[-0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[-0.0006540955134973921, 0.6003408394213989, 0.19425509204600944]","[-0.005238295937886783, -0.0010472742045903871, -0.0008883628716948311]",0.1875360933715652,1.1050590526974765e-05
1,144,y_positive,"[0.0, 0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.008787230948381915, 0.6089871175703565, 0.19439844205766732]","[0.004203030523992525, 0.007599003944367189, -0.0007450128600369477]",0.18995952632020127,1.1050590521419931e-05
1,144,y_negative,"[0.0, -0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.009372179957175394, 0.5907155392347172, 0.19452853170840734]","[0.004787979532786004, -0.010672574391272116, -0.0006149232092969303]",0.19005222777219327,1.1050590525675853e-05
1,148,x_positive,"[0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.018803042253640993, 0.5993625393551477, 0.19468102522280356]","[0.014218841829251603, -0.0020255742708416014, -0.00046242969490070673]",0.20264778054972635,1.1677202615444166e-05
1,148,x_negative,"[-0.20000000298023224, 0.0, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[-0.0006540955134973921, 0.6003408394213989, 0.19425509204600944]","[-0.005238295937886783, -0.0010472742045903871, -0.0008883628716948311]",0.1999939327534868,1.1677202615690678e-05
1,148,y_positive,"[0.0, 0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.008787230948381915, 0.6089871175703565, 0.19439844205766732]","[0.004203030523992525, 0.007599003944367189, -0.0007450128600369477]",0.20193386534260674,1.1677202615859486e-05
1,148,y_negative,"[0.0, -0.20000000298023224, 0.0, 0.0]",8,"[0.00458420042438939, 0.6013881136259893, 0.19514345491770427]","[0.009372179957175398, 0.5907155392347173, 0.19452853170840712]","[0.0047879795327860075, -0.010672574391272005, -0.0006149232092971524]",0.20264778054972635,1.1677202615629883e-05
