source_run_id,source_manifest_id,episode_id,realization_index,seed,first_verification_status,first_observed_progress,first_final_object_goal_distance,paired_retry_status_evaluator_only,paired_retry_accepted_evaluator_only
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,35,2,3334,REJECTED,-0.027989244888614845,0.262063249850465,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,35,4,3334,INCONCLUSIVE,0.03837211672251353,0.1957018882393366,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,42,3,3341,REJECTED,-0.017496830203127672,0.21120580208965134,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,48,3,3347,INCONCLUSIVE,0.04638470914879744,0.2737533973867936,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,48,4,3347,INCONCLUSIVE,0.043626591504969836,0.2765115150306212,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,57,2,3356,INCONCLUSIVE,0.32590729588921286,0.2698475156888699,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,59,3,3358,REJECTED,-0.1634228014221892,0.30782693102462494,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,59,4,3358,REJECTED,-0.011766762086609345,0.15617089168904508,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,60,4,3359,REJECTED,-0.08534362977048335,0.31446558805772196,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,61,2,3360,INCONCLUSIVE,0.09290157238030253,0.24212688165099436,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,75,1,3374,INCONCLUSIVE,0.1525187592809248,0.2604326484490758,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,75,3,3374,INCONCLUSIVE,0.3075565228163652,0.10539488491363543,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,78,1,3377,INCONCLUSIVE,0.2365213492452654,0.13625072399157195,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,78,3,3377,INCONCLUSIVE,0.09075732119093144,0.2820147520459059,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,79,3,3378,INCONCLUSIVE,0.06686833277871337,0.18361500959545615,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,83,1,3382,INCONCLUSIVE,0.09338157407537125,0.10722547347511903,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,86,1,3385,REJECTED,-0.02444920862839786,0.2379673349529678,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,86,4,3385,INCONCLUSIVE,0.04259227079794986,0.17092585552662007,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,88,1,3387,REJECTED,-0.07311683804067542,0.438473197712716,REJECTED,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,99,1,3398,INCONCLUSIVE,0.3059896489982684,0.12024367794744181,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,99,2,3398,INCONCLUSIVE,0.18385689594315752,0.24237643100255274,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,99,3,3398,INCONCLUSIVE,0.09938560776042454,0.3268477191852857,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,99,4,3398,INCONCLUSIVE,0.2565342050331348,0.16969912191257547,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,101,2,3400,REJECTED,-0.13028674277622376,0.3510257558900768,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,101,3,3400,REJECTED,-0.2934517925558523,0.5141908056697053,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,101,4,3400,REJECTED,-0.03172857882029767,0.2524675919341507,REJECTED,False
