method,episode_id,seed,first_status,first_observed_progress,selected_second_skill,final_accepted,harmful_selection,second_attempt,total_environment_steps
always_repeat,10,3509,INCONCLUSIVE,0.07032606714577469,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1128
always_switch,10,3509,INCONCLUSIVE,0.07032606714577469,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
frozen_status_rule,10,3509,INCONCLUSIVE,0.07032606714577469,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1128
zero_progress_rule,10,3509,INCONCLUSIVE,0.07032606714577469,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1128
oracle_second,10,3509,INCONCLUSIVE,0.07032606714577469,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1128
single_retry,14,3513,REJECTED,-0.004201976609582658,STOP,False,False,False,1064
always_repeat,14,3513,REJECTED,-0.004201976609582658,INDEPENDENT_STOCHASTIC_RETRY,False,False,True,1564
always_switch,14,3513,REJECTED,-0.004201976609582658,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
frozen_status_rule,14,3513,REJECTED,-0.004201976609582658,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
zero_progress_rule,14,3513,REJECTED,-0.004201976609582658,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
oracle_second,14,3513,REJECTED,-0.004201976609582658,INDEPENDENT_STOCHASTIC_RETRY,False,False,True,1564
single_retry,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
always_repeat,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
always_switch,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
frozen_status_rule,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
zero_progress_rule,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
oracle_second,15,3514,ACCEPTED,0.11235085178489967,STOP,True,False,False,640
single_retry,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
always_repeat,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
always_switch,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
frozen_status_rule,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
zero_progress_rule,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
oracle_second,20,3519,ACCEPTED,0.2083720743343015,STOP,True,False,False,740
single_retry,22,3521,INCONCLUSIVE,0.06972662805055277,STOP,False,False,False,1064
always_repeat,22,3521,INCONCLUSIVE,0.06972662805055277,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1134
always_switch,22,3521,INCONCLUSIVE,0.06972662805055277,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
frozen_status_rule,22,3521,INCONCLUSIVE,0.06972662805055277,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1134
zero_progress_rule,22,3521,INCONCLUSIVE,0.06972662805055277,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1134
oracle_second,22,3521,INCONCLUSIVE,0.06972662805055277,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1134
single_retry,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
always_repeat,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
always_switch,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
frozen_status_rule,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
zero_progress_rule,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
oracle_second,29,3528,ACCEPTED,0.22288373829367747,STOP,True,False,False,687
single_retry,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
always_repeat,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
always_switch,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
frozen_status_rule,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
zero_progress_rule,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
oracle_second,32,3531,ACCEPTED,0.15985685406723335,STOP,True,False,False,661
single_retry,33,3532,INCONCLUSIVE,0.04452065710396788,STOP,False,False,False,1064
always_repeat,33,3532,INCONCLUSIVE,0.04452065710396788,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1130
always_switch,33,3532,INCONCLUSIVE,0.04452065710396788,BOUNDED_PLANAR_COMPENSATION,True,False,True,1206
frozen_status_rule,33,3532,INCONCLUSIVE,0.04452065710396788,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1130
zero_progress_rule,33,3532,INCONCLUSIVE,0.04452065710396788,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1130
oracle_second,33,3532,INCONCLUSIVE,0.04452065710396788,BOUNDED_PLANAR_COMPENSATION,True,False,True,1206
single_retry,34,3533,INCONCLUSIVE,0.02210822528591544,STOP,False,False,False,1064
always_repeat,34,3533,INCONCLUSIVE,0.02210822528591544,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1222
always_switch,34,3533,INCONCLUSIVE,0.02210822528591544,BOUNDED_PLANAR_COMPENSATION,True,False,True,1224
frozen_status_rule,34,3533,INCONCLUSIVE,0.02210822528591544,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1222
zero_progress_rule,34,3533,INCONCLUSIVE,0.02210822528591544,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1222
oracle_second,34,3533,INCONCLUSIVE,0.02210822528591544,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1222
single_retry,35,3534,REJECTED,-0.018932000089562084,STOP,False,False,False,1064
always_repeat,35,3534,REJECTED,-0.018932000089562084,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
always_switch,35,3534,REJECTED,-0.018932000089562084,BOUNDED_PLANAR_COMPENSATION,True,False,True,1126
frozen_status_rule,35,3534,REJECTED,-0.018932000089562084,BOUNDED_PLANAR_COMPENSATION,True,False,True,1126
zero_progress_rule,35,3534,REJECTED,-0.018932000089562084,BOUNDED_PLANAR_COMPENSATION,True,False,True,1126
oracle_second,35,3534,REJECTED,-0.018932000089562084,BOUNDED_PLANAR_COMPENSATION,True,False,True,1126
single_retry,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
always_repeat,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
always_switch,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
frozen_status_rule,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
zero_progress_rule,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
oracle_second,37,3536,ACCEPTED,0.23991111197875617,STOP,True,False,False,631
single_retry,40,3539,REJECTED,-0.018272510814530407,STOP,False,False,False,1064
always_repeat,40,3539,REJECTED,-0.018272510814530407,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1207
always_switch,40,3539,REJECTED,-0.018272510814530407,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
frozen_status_rule,40,3539,REJECTED,-0.018272510814530407,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
zero_progress_rule,40,3539,REJECTED,-0.018272510814530407,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
oracle_second,40,3539,REJECTED,-0.018272510814530407,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1207
single_retry,44,3543,REJECTED,-0.02198081198638807,STOP,False,False,False,1064
always_repeat,44,3543,REJECTED,-0.02198081198638807,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
always_switch,44,3543,REJECTED,-0.02198081198638807,BOUNDED_PLANAR_COMPENSATION,True,False,True,1258
frozen_status_rule,44,3543,REJECTED,-0.02198081198638807,BOUNDED_PLANAR_COMPENSATION,True,False,True,1258
zero_progress_rule,44,3543,REJECTED,-0.02198081198638807,BOUNDED_PLANAR_COMPENSATION,True,False,True,1258
oracle_second,44,3543,REJECTED,-0.02198081198638807,BOUNDED_PLANAR_COMPENSATION,True,False,True,1258
single_retry,49,3548,REJECTED,-0.07400630653351145,STOP,False,False,False,1064
always_repeat,49,3548,REJECTED,-0.07400630653351145,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1239
always_switch,49,3548,REJECTED,-0.07400630653351145,BOUNDED_PLANAR_COMPENSATION,True,False,True,1153
frozen_status_rule,49,3548,REJECTED,-0.07400630653351145,BOUNDED_PLANAR_COMPENSATION,True,False,True,1153
zero_progress_rule,49,3548,REJECTED,-0.07400630653351145,BOUNDED_PLANAR_COMPENSATION,True,False,True,1153
oracle_second,49,3548,REJECTED,-0.07400630653351145,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1239
single_retry,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
always_repeat,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
always_switch,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
frozen_status_rule,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
zero_progress_rule,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
oracle_second,50,3549,ACCEPTED,0.25353051057579257,STOP,True,False,False,675
single_retry,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
always_repeat,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
always_switch,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
frozen_status_rule,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
zero_progress_rule,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
oracle_second,53,3552,ACCEPTED,0.2626967176977618,STOP,True,False,False,738
single_retry,56,3555,INCONCLUSIVE,0.2241126271416092,STOP,False,False,False,1064
always_repeat,56,3555,INCONCLUSIVE,0.2241126271416092,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
always_switch,56,3555,INCONCLUSIVE,0.2241126271416092,BOUNDED_PLANAR_COMPENSATION,True,False,True,1305
frozen_status_rule,56,3555,INCONCLUSIVE,0.2241126271416092,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
zero_progress_rule,56,3555,INCONCLUSIVE,0.2241126271416092,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
oracle_second,56,3555,INCONCLUSIVE,0.2241126271416092,BOUNDED_PLANAR_COMPENSATION,True,False,True,1305
single_retry,57,3556,REJECTED,-0.07793994075684314,STOP,False,False,False,1064
always_repeat,57,3556,REJECTED,-0.07793994075684314,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1132
always_switch,57,3556,REJECTED,-0.07793994075684314,BOUNDED_PLANAR_COMPENSATION,True,False,True,1458
frozen_status_rule,57,3556,REJECTED,-0.07793994075684314,BOUNDED_PLANAR_COMPENSATION,True,False,True,1458
zero_progress_rule,57,3556,REJECTED,-0.07793994075684314,BOUNDED_PLANAR_COMPENSATION,True,False,True,1458
oracle_second,57,3556,REJECTED,-0.07793994075684314,BOUNDED_PLANAR_COMPENSATION,True,False,True,1458
single_retry,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
always_repeat,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
always_switch,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
frozen_status_rule,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
zero_progress_rule,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
oracle_second,58,3557,ACCEPTED,0.11582796350422647,STOP,True,False,False,673
single_retry,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
always_repeat,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
always_switch,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
frozen_status_rule,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
zero_progress_rule,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
oracle_second,60,3559,ACCEPTED,0.07627610384349609,STOP,True,False,False,664
single_retry,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
always_repeat,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
always_switch,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
frozen_status_rule,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
zero_progress_rule,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
oracle_second,66,3565,ACCEPTED,0.12884508543717252,STOP,True,False,False,662
single_retry,67,3566,REJECTED,-0.20032127050434057,STOP,False,False,False,1064
always_repeat,67,3566,REJECTED,-0.20032127050434057,INDEPENDENT_STOCHASTIC_RETRY,False,False,True,1564
always_switch,67,3566,REJECTED,-0.20032127050434057,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
frozen_status_rule,67,3566,REJECTED,-0.20032127050434057,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
zero_progress_rule,67,3566,REJECTED,-0.20032127050434057,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
oracle_second,67,3566,REJECTED,-0.20032127050434057,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
single_retry,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
always_repeat,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
always_switch,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
frozen_status_rule,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
zero_progress_rule,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
oracle_second,68,3567,ACCEPTED,0.16473423278639976,STOP,True,False,False,667
single_retry,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
always_repeat,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
always_switch,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
frozen_status_rule,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
zero_progress_rule,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
oracle_second,75,3574,ACCEPTED,0.18666389657235466,STOP,True,False,False,702
single_retry,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
always_repeat,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
always_switch,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
frozen_status_rule,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
zero_progress_rule,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
oracle_second,78,3577,ACCEPTED,0.20200936048855034,STOP,True,False,False,726
single_retry,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
always_repeat,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
always_switch,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
frozen_status_rule,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
zero_progress_rule,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
oracle_second,82,3581,ACCEPTED,0.19294678390566328,STOP,True,False,False,664
single_retry,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
always_repeat,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
always_switch,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
frozen_status_rule,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
zero_progress_rule,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
oracle_second,86,3585,ACCEPTED,0.13128300572809706,STOP,True,False,False,649
single_retry,91,3590,REJECTED,-0.009892262686744119,STOP,False,False,False,1064
always_repeat,91,3590,REJECTED,-0.009892262686744119,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1171
always_switch,91,3590,REJECTED,-0.009892262686744119,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
frozen_status_rule,91,3590,REJECTED,-0.009892262686744119,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
zero_progress_rule,91,3590,REJECTED,-0.009892262686744119,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
oracle_second,91,3590,REJECTED,-0.009892262686744119,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1171
single_retry,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
always_repeat,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
always_switch,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
frozen_status_rule,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
zero_progress_rule,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
oracle_second,93,3592,ACCEPTED,0.14530056242973238,STOP,True,False,False,664
single_retry,96,3595,REJECTED,-0.06470658727380166,STOP,False,False,False,1064
always_repeat,96,3595,REJECTED,-0.06470658727380166,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1260
always_switch,96,3595,REJECTED,-0.06470658727380166,BOUNDED_PLANAR_COMPENSATION,True,False,True,1177
frozen_status_rule,96,3595,REJECTED,-0.06470658727380166,BOUNDED_PLANAR_COMPENSATION,True,False,True,1177
zero_progress_rule,96,3595,REJECTED,-0.06470658727380166,BOUNDED_PLANAR_COMPENSATION,True,False,True,1177
oracle_second,96,3595,REJECTED,-0.06470658727380166,BOUNDED_PLANAR_COMPENSATION,True,False,True,1177
single_retry,98,3597,REJECTED,-0.019726195451993056,STOP,False,False,False,1064
always_repeat,98,3597,REJECTED,-0.019726195451993056,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1374
always_switch,98,3597,REJECTED,-0.019726195451993056,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
frozen_status_rule,98,3597,REJECTED,-0.019726195451993056,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
zero_progress_rule,98,3597,REJECTED,-0.019726195451993056,BOUNDED_PLANAR_COMPENSATION,False,True,True,1564
oracle_second,98,3597,REJECTED,-0.019726195451993056,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1374
single_retry,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
always_repeat,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
always_switch,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
frozen_status_rule,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
zero_progress_rule,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
oracle_second,105,3604,ACCEPTED,0.19615489797152008,STOP,True,False,False,704
single_retry,108,3607,REJECTED,-0.40165280915415014,STOP,False,False,False,1064
always_repeat,108,3607,REJECTED,-0.40165280915415014,INDEPENDENT_STOCHASTIC_RETRY,False,False,True,1564
always_switch,108,3607,REJECTED,-0.40165280915415014,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
frozen_status_rule,108,3607,REJECTED,-0.40165280915415014,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
zero_progress_rule,108,3607,REJECTED,-0.40165280915415014,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
oracle_second,108,3607,REJECTED,-0.40165280915415014,BOUNDED_PLANAR_COMPENSATION,False,False,True,1564
single_retry,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
always_repeat,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
always_switch,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
frozen_status_rule,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
zero_progress_rule,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
oracle_second,111,3610,ACCEPTED,0.13060018217689806,STOP,True,False,False,707
single_retry,114,3613,INCONCLUSIVE,0.022774142694136912,STOP,False,False,False,1064
always_repeat,114,3613,INCONCLUSIVE,0.022774142694136912,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1133
always_switch,114,3613,INCONCLUSIVE,0.022774142694136912,BOUNDED_PLANAR_COMPENSATION,True,False,True,1192
frozen_status_rule,114,3613,INCONCLUSIVE,0.022774142694136912,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1133
zero_progress_rule,114,3613,INCONCLUSIVE,0.022774142694136912,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1133
oracle_second,114,3613,INCONCLUSIVE,0.022774142694136912,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1133
single_retry,117,3616,INCONCLUSIVE,0.11322205824133402,STOP,False,False,False,1064
always_repeat,117,3616,INCONCLUSIVE,0.11322205824133402,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
always_switch,117,3616,INCONCLUSIVE,0.11322205824133402,BOUNDED_PLANAR_COMPENSATION,True,False,True,1142
frozen_status_rule,117,3616,INCONCLUSIVE,0.11322205824133402,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
zero_progress_rule,117,3616,INCONCLUSIVE,0.11322205824133402,INDEPENDENT_STOCHASTIC_RETRY,False,True,True,1564
oracle_second,117,3616,INCONCLUSIVE,0.11322205824133402,BOUNDED_PLANAR_COMPENSATION,True,False,True,1142
single_retry,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
always_repeat,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
always_switch,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
frozen_status_rule,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
zero_progress_rule,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
oracle_second,119,3618,ACCEPTED,0.18512431910877417,STOP,True,False,False,643
single_retry,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
always_repeat,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
always_switch,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
frozen_status_rule,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
zero_progress_rule,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
oracle_second,124,3623,ACCEPTED,0.20228110755962292,STOP,True,False,False,634
single_retry,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
always_repeat,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
always_switch,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
frozen_status_rule,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
zero_progress_rule,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
oracle_second,125,3624,ACCEPTED,0.31713099995137944,STOP,True,False,False,723
single_retry,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
always_repeat,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
always_switch,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
frozen_status_rule,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
zero_progress_rule,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
oracle_second,128,3627,ACCEPTED,0.28925768297549104,STOP,True,False,False,792
single_retry,129,3628,REJECTED,-7.16725419236397e-07,STOP,False,False,False,1064
always_repeat,129,3628,REJECTED,-7.16725419236397e-07,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1229
always_switch,129,3628,REJECTED,-7.16725419236397e-07,BOUNDED_PLANAR_COMPENSATION,True,False,True,1254
frozen_status_rule,129,3628,REJECTED,-7.16725419236397e-07,BOUNDED_PLANAR_COMPENSATION,True,False,True,1254
zero_progress_rule,129,3628,REJECTED,-7.16725419236397e-07,BOUNDED_PLANAR_COMPENSATION,True,False,True,1254
oracle_second,129,3628,REJECTED,-7.16725419236397e-07,INDEPENDENT_STOCHASTIC_RETRY,True,False,True,1229
single_retry,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
always_repeat,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
always_switch,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
frozen_status_rule,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
zero_progress_rule,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
oracle_second,132,3631,ACCEPTED,0.1985014515164057,STOP,True,False,False,695
single_retry,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
always_repeat,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
always_switch,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
frozen_status_rule,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
zero_progress_rule,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
oracle_second,139,3638,ACCEPTED,0.2862061771287072,STOP,True,False,False,635
single_retry,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
always_repeat,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
always_switch,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
frozen_status_rule,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
zero_progress_rule,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
oracle_second,143,3642,ACCEPTED,0.0787826070745157,STOP,True,False,False,643
single_retry,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
always_repeat,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
always_switch,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
frozen_status_rule,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
zero_progress_rule,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
oracle_second,145,3644,ACCEPTED,0.07554241429443295,STOP,True,False,False,683
single_retry,148,3647,ACCEPTED,0.17889693171124815,STOP,True,False,False,715
