source_run_id,source_manifest_id,episode_id,seed,first_verification_status,first_observed_progress,first_final_object_goal_distance,paired_retry_status_evaluator_only,paired_retry_accepted_evaluator_only,paired_retry_steps_evaluator_only
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,57,3556,REJECTED,-0.07793994075684314,0.18059901377909812,ACCEPTED,True,68
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,67,3566,REJECTED,-0.20032127050434057,0.3881499955060332,REJECTED,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,91,3590,REJECTED,-0.009892262686744119,0.2500378655493071,ACCEPTED,True,107
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,96,3595,REJECTED,-0.06470658727380166,0.2822109280939916,ACCEPTED,True,196
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,98,3597,REJECTED,-0.019726195451993056,0.3078603476118442,ACCEPTED,True,310
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,108,3607,REJECTED,-0.40165280915415014,0.6395029606166199,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,114,3613,INCONCLUSIVE,0.022774142694136912,0.2685661875076297,ACCEPTED,True,69
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,117,3616,INCONCLUSIVE,0.11322205824133402,0.2399330856620714,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,129,3628,REJECTED,-7.16725419236397e-07,0.2770678037240135,ACCEPTED,True,165
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,149,3648,REJECTED,-0.1280281526673706,0.32485614996274714,ACCEPTED,True,150
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,157,3656,INCONCLUSIVE,0.05506922222939342,0.329324776274674,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,162,3661,REJECTED,-0.05168352639038115,0.2934457117104258,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,165,3664,REJECTED,-0.007265775867441648,0.2750109763526503,ACCEPTED,True,150
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,171,3670,REJECTED,-0.04822033852758201,0.3254293658322168,ACCEPTED,True,134
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,174,3673,INCONCLUSIVE,0.009348522957196848,0.21532304635714014,REJECTED,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,182,3681,INCONCLUSIVE,0.003695512233804682,0.18422569534791852,ACCEPTED,True,81
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,211,3710,REJECTED,-0.059660255457979317,0.3878575126636363,ACCEPTED,True,234
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,219,3718,REJECTED,-0.07006081307891021,0.371035528075773,ACCEPTED,True,217
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,228,3727,INCONCLUSIVE,0.03583436706342319,0.276096751622684,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,231,3730,INCONCLUSIVE,0.22745079248934075,0.2817447191653947,ACCEPTED,True,81
