method,condition_id,seed,recovery_success,strategy,retry_seed,consistency_score,recovery_environment_steps,final_object_goal_distance
value_aware,fault_03,304,True,dominant_axis_repair,,9.0439505213104e-16,125,0.045801410032263665
no_recovery,fault_03,305,False,none,,,0,0.2611577078469586
bias_compensation,fault_03,305,True,dominant_axis_repair,,,79,0.046163118576869014
same_seed_retry,fault_03,305,False,identity_retry,305,,500,0.2611577078469586
independent_retry,fault_03,305,False,identity_retry,3863142290,,500,0.2611577078469586
value_aware,fault_03,305,True,dominant_axis_repair,,9.204028199095723e-16,127,0.046163118576869014
no_recovery,fault_03,306,False,none,,,0,0.32035717868054864
bias_compensation,fault_03,306,True,dominant_axis_repair,,,93,0.047995804829921676
same_seed_retry,fault_03,306,False,identity_retry,306,,500,0.32035717868054864
independent_retry,fault_03,306,False,identity_retry,1152346755,,500,0.32035717868054864
value_aware,fault_03,306,True,dominant_axis_repair,,9.000690948550906e-16,141,0.047995804829921676
no_recovery,fault_03,308,False,none,,,0,0.2170335363260754
bias_compensation,fault_03,308,True,dominant_axis_repair,,,83,0.04710829510828712
same_seed_retry,fault_03,308,False,identity_retry,308,,500,0.2170335363260754
independent_retry,fault_03,308,False,identity_retry,832172095,,500,0.2170335363260754
value_aware,fault_03,308,True,dominant_axis_repair,,9.704967811592294e-16,131,0.04710829510828712
no_recovery,fault_03,309,False,none,,,0,0.18420678313475725
bias_compensation,fault_03,309,True,dominant_axis_repair,,,78,0.04650568342404701
same_seed_retry,fault_03,309,False,identity_retry,309,,500,0.18420678313475725
independent_retry,fault_03,309,False,identity_retry,817186373,,500,0.18420678313475725
value_aware,fault_03,309,True,dominant_axis_repair,,8.257611733070144e-16,126,0.04650568342404701
no_recovery,fault_04,300,False,none,,,0,0.28918288484122034
bias_compensation,fault_04,300,True,simultaneous_xy_repair,,,88,0.04940188396055187
same_seed_retry,fault_04,300,False,identity_retry,300,,500,0.28918288484122034
independent_retry,fault_04,300,False,identity_retry,965323357,,500,0.28918288484122034
value_aware,fault_04,300,True,simultaneous_xy_repair,,2.5755170188640796e-15,136,0.04940188396055187
no_recovery,fault_04,301,False,none,,,0,0.22141807278142436
bias_compensation,fault_04,301,True,simultaneous_xy_repair,,,77,0.048378128585679116
same_seed_retry,fault_04,301,False,identity_retry,301,,500,0.22141807278142436
independent_retry,fault_04,301,False,identity_retry,2019010396,,500,0.22141807278142436
value_aware,fault_04,301,True,simultaneous_xy_repair,,5.377763645224848e-15,125,0.048378128585679116
no_recovery,fault_04,302,False,none,,,0,0.21306656719814976
bias_compensation,fault_04,302,True,simultaneous_xy_repair,,,79,0.04746426724172386
same_seed_retry,fault_04,302,False,identity_retry,302,,500,0.21306656719814976
independent_retry,fault_04,302,False,identity_retry,1840659754,,500,0.21306656719814976
value_aware,fault_04,302,True,simultaneous_xy_repair,,1.700623664788216e-15,127,0.04746426724172386
no_recovery,fault_04,303,False,none,,,0,0.4588399289601876
bias_compensation,fault_04,303,True,simultaneous_xy_repair,,,75,0.048860316041290694
same_seed_retry,fault_04,303,False,identity_retry,303,,500,0.4588399289601876
independent_retry,fault_04,303,False,identity_retry,544788954,,500,0.4588399289601876
value_aware,fault_04,303,True,simultaneous_xy_repair,,2.1140294311930905e-15,123,0.048860316041290694
no_recovery,fault_04,304,False,none,,,0,0.21879166438532205
bias_compensation,fault_04,304,True,simultaneous_xy_repair,,,74,0.04748868139544477
same_seed_retry,fault_04,304,False,identity_retry,304,,500,0.21879166438532205
independent_retry,fault_04,304,False,identity_retry,1699234452,,500,0.21879166438532205
value_aware,fault_04,304,True,simultaneous_xy_repair,,2.0735569924273852e-15,122,0.04748868139544477
no_recovery,fault_04,305,False,none,,,0,0.23324556761230575
bias_compensation,fault_04,305,True,simultaneous_xy_repair,,,76,0.046892740355865214
same_seed_retry,fault_04,305,False,identity_retry,305,,500,0.23324556761230575
independent_retry,fault_04,305,False,identity_retry,3863142290,,500,0.23324556761230575
value_aware,fault_04,305,True,simultaneous_xy_repair,,2.4640792890398633e-15,124,0.046892740355865214
no_recovery,fault_04,306,False,none,,,0,0.3165739137264858
bias_compensation,fault_04,306,True,simultaneous_xy_repair,,,88,0.048441732123022496
same_seed_retry,fault_04,306,False,identity_retry,306,,500,0.3165739137264858
independent_retry,fault_04,306,False,identity_retry,1152346755,,500,0.3165739137264858
value_aware,fault_04,306,True,simultaneous_xy_repair,,2.3006697751759266e-15,136,0.048441732123022496
no_recovery,fault_04,307,False,none,,,0,0.20627687881054202
bias_compensation,fault_04,307,True,simultaneous_xy_repair,,,76,0.047006844545425176
same_seed_retry,fault_04,307,False,identity_retry,307,,500,0.20627687881054202
independent_retry,fault_04,307,False,identity_retry,1369196023,,500,0.20627687881054202
value_aware,fault_04,307,True,simultaneous_xy_repair,,2.1534731744533124e-15,124,0.047006844545425176
no_recovery,fault_04,308,False,none,,,0,0.2024886073750004
bias_compensation,fault_04,308,True,simultaneous_xy_repair,,,77,0.04964250298384588
same_seed_retry,fault_04,308,False,identity_retry,308,,500,0.2024886073750004
independent_retry,fault_04,308,False,identity_retry,832172095,,500,0.2024886073750004
value_aware,fault_04,308,True,simultaneous_xy_repair,,2.113938326905897e-15,125,0.04964250298384588
no_recovery,fault_04,309,False,none,,,0,0.16983626115733358
bias_compensation,fault_04,309,True,simultaneous_xy_repair,,,72,0.04529695741855651
same_seed_retry,fault_04,309,False,identity_retry,309,,500,0.16983626115733358
independent_retry,fault_04,309,False,identity_retry,817186373,,500,0.16983626115733358
value_aware,fault_04,309,True,simultaneous_xy_repair,,1.2331724470195406e-15,120,0.04529695741855651
no_recovery,fault_05,300,False,none,,,0,0.373666359430573
bias_compensation,fault_05,300,False,simultaneous_xy_repair,,,516,0.2927341793344804
same_seed_retry,fault_05,300,False,identity_retry,300,,500,0.373666359430573
independent_retry,fault_05,300,False,identity_retry,965323357,,500,0.330888731545668
value_aware,fault_05,300,False,stochastic_retry,965323357,0.25946917486875176,564,0.330888731545668
no_recovery,fault_05,303,False,none,,,0,0.29836750486233127
bias_compensation,fault_05,303,False,simultaneous_xy_repair,,,516,0.22832882848297445
same_seed_retry,fault_05,303,False,identity_retry,303,,500,0.29836750486233127
independent_retry,fault_05,303,True,identity_retry,544788954,,77,0.04771175954546119
value_aware,fault_05,303,True,stochastic_retry,544788954,0.23121676196745888,141,0.04771175954546119
no_recovery,fault_05,304,False,none,,,0,0.32863188580820163
bias_compensation,fault_05,304,False,simultaneous_xy_repair,,,516,0.5554679320355665
same_seed_retry,fault_05,304,False,identity_retry,304,,500,0.32863188580820163
independent_retry,fault_05,304,False,identity_retry,1699234452,,500,0.25002686129223556
value_aware,fault_05,304,False,stochastic_retry,1699234452,0.7593787741677711,564,0.25002686129223556
no_recovery,fault_05,306,False,none,,,0,0.3471913013624153
bias_compensation,fault_05,306,True,dominant_axis_repair,,,123,0.04921894991467797
same_seed_retry,fault_05,306,False,identity_retry,306,,500,0.3471913013624153
independent_retry,fault_05,306,True,identity_retry,1152346755,,177,0.04782344468709762
value_aware,fault_05,306,True,stochastic_retry,1152346755,0.6299511938952732,241,0.04782344468709762
